PDTYCODE,PRODTYPE,PROD,INDEX,FIELD,LOW,HIGH
MAIN,主要产品,钛白粉,110,PRODTYPE,201,202
MAIN,主要产品,精制合成金红石,120,MTGP,203000000,203000000
MAIN,主要产品,钛精矿,130,MTGP,204000000,204000000
MAIN,主要产品,原矿石/自制矿,140,MATNR,000010200000000008,000010200000000008
MAIN,主要产品,铁精矿,150,MTGP,207000000,207000000
IMPT,重点关注产品,四氯化钛,201,MTGP,101000000,101000000
IMPT,重点关注产品,氯化钛渣,202,MTGP,105010000,105010000
IMPT,重点关注产品,酸溶性钛渣,203,MTGP,105020000,105020000
IMPT,重点关注产品,合成金红石,204,MTGP,105030000,105030000
IMPT,重点关注产品,造粒富钛料,205,MTGP,105040000,105040000
IMPT,重点关注产品,还原钛铁矿,206,MTGP,104000000,104000000
IMPT,重点关注产品,生铁,207,MTGP,208000000,208000000
IMPT,重点关注产品,亚铁-工业级硫酸亚铁,208,MATNR,000021200000000001,000021200000000001
IMPT,重点关注产品,亚铁-一水亚铁,209,MATNR,000021200000000004,000021200000000009
IMPT,重点关注产品,亚铁-四水亚铁,210,MATNR,000021200000000003,000021200000000003
IMPT,重点关注产品,亚铁-七水亚铁,211,MATNR,000021200000000002,000021200000000002
IMPT,重点关注产品,硫钴精矿,212,MTGP,211000000,211000000
OTHERS,其他产品,其他产品,300,AAGM,10,20